Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020"
Tanzania,59734213,58005463,0.035,17.7,,,,
Israel,8655541,9053300,38.415,30.6,44425,44397,45794,49469
Palestinian Territories,5101416,4685306,27.443,20.4,,,,
Ghana,31072945,30417856,1.078,21.1,,,,
Uganda,45741000,44269594,0.549,16.4,,,,
Benin,12123198,11801151,0.363,18.8,,,,
Madagascar,27691019,26969307,0.942,19.6,,,,
Malawi,19129955,18628747,0.988,18.1,,,,
South Africa,59308690,58558270,48.001,27.3,,,,566004
Canada,37742157,37589262,41.418,41.4,,,,
Australia,25499881,25364307,3.565,37.9,,,,
Philippines,109581085,108116615,8.436,25.2,,,,
Sri Lanka,21413250,21670000,0.953,34.1,,,,
